SEGMENTO,CIUDAD,UID,CANCEL_PREV,PESO,USD_SUBTOTAL,DESCUENTOS,CORTESIA,FALTANTES,PQRs,DEMORA,VOLVIO
Hogar,BOG,9ArMVCncF4dwVGMy0tia3lUtr5q2,0,9.5,8.09,0,0,0,1,6,1
Restaurante,BOG,9B5kA9JXJ7QcFGvS7TCy78nGbeO2,0,108.0,18.49,0,0,0,0,7,1
Comercio,CMX,9BILPwjLkbaYutgwRmObHPyJTly2,0,26.0,78.2,0,0,0,0,4,0
Restaurante,CMX,9BV0pcy5MvU6dKfh3ork4ef5xn23,0,50.0,26.98,0,0,0,0,7,1
Hogar,BOG,9BeHAaLyn3fIfa75mGUM3AWDDyp2,0,10.4,35.67,0,0,0,0,7,1
Hogar,BOG,9Bf2dWvOOGfTe6OpYx8MS5pIKEk2,0,70.9,73.77,0,0,0,0,2,1
Hogar,BOG,9Bo2XnUJAAXlkn34H5KGAe3lbS53,0,38.0,39.23,0,0,0,0,5,1
Comercio,CMX,9BoSOd8v3aSSlmMcntiZr3LZcPY2,0,20.0,33.15,0,0,0,2,6,1
Hogar,BOG,9C27oGis58Pgpq7NhYMC8MjAyqj2,0,20.5,34.89,0,0,0,1,9,1
Comercio,BOG,9CT4KvTtJvOl7m9dtGZGX1dmRvq1,0,93.0,32.49,0,0,1,0,3,1
Hogar,BOG,9CZorJAQNVOa3QzSmxDBxSDJuFj1,0,44.6,35.45,0,0,2,0,6,1
Restaurante,BOG,9CZv71s3w1SpcJ4NUpZl1lM3iS03,0,35.72,32.29,0,0,1,0,8,1
Restaurante,BOG,9Cd2ShsDdTf1UqVaE0bxQcX7xC42,0,8.0,17.4,0,1,0,0,7,1
Restaurante,BOG,9CguJQDT8uSRklp7ZIHThaOzaA62,0,15.2,22.2,0,0,0,0,4,1
Restaurante,BOG,9DcMUr5OzXgvuDl9a87XkoTvNms2,0,35.7,26.78,0,0,1,0,7,1
Hogar,CMX,9DfUXZ0p1zWKiH7DNp3T5S6ToLu1,0,36.0,40.2,1,1,0,0,5,1
Hogar,BOG,9Dpu81bCvBeXdhdIB1ZQDcg4D6f2,0,17.5,10.61,0,0,0,0,3,1
Comercio,BOG,9E11WA6rfkQ5mB8zLYyvJ8hzrE92,0,24.5,18.24,0,0,0,1,12,0
Comercio,CMX,9EMstMNoLecw73r984R0T3kP1EV2,0,1.0,27.49,0,0,0,0,6,0
Hogar,BOG,9EkN4mtrhgYUaFepF4Oi7jYYGQx1,0,39.0,34.62,0,0,0,0,13,0
Comercio,BAQ,9EoyAjR8ciNqYFw56cqwEzG6yMQ2,0,36.7,18.04,0,0,0,1,5,1
Restaurante,BOG,9EpOKaekUhf9qeCbBKUJqDQRSXn1,0,15.5,11.25,0,0,0,0,6,1
Hogar,BOG,9F8bANMTWCd1n0khImwqquiPWHQ2,0,115.65,107.14,0,0,2,0,11,1
Hogar,CMX,9FP1rJaaGSSKnv4XlUyXOvdpwc73,0,15.4,23.2,0,0,0,0,7,1
Comercio,BOG,9FQ59br7YHXtsa1SFwtsjlJhOfG3,0,25.0,19.09,0,0,0,0,6,0
Restaurante,BOG,9FRccwHlmvWYKCtUuI2ceUkUFKw1,0,34.32,20.13,0,0,0,0,6,1
Hogar,BOG,9FRoB6pkemR0CxCWujuNWkFxiB73,0,66.4,62.45,0,0,2,0,10,1
Hogar,BOG,9FiFDGtcGHRXS50D8lHp2nLx7iC2,0,79.2,72.64,0,0,3,0,8,1
Hogar,BOG,9FtyvxkoGWXFxn8t8Y8VelUjN9i1,0,39.8,30.6,0,0,1,0,8,1
Comercio,BOG,9FzlHcLoISNyiIwpZdSqjytjNp33,0,47.0,30.78,0,0,0,0,5,1
Comercio,BOG,9G20DeNmQoNASJAOXXRyXLoqzvE3,0,33.0,45.37,0,0,0,0,8,1
Hogar,BAQ,9G9cud2fTTfeJfQZMeFIrpX9JtE2,0,37.4,35.92,0,0,0,0,2,1
Restaurante,CMX,9GItMcET4XhIzJyiSSJ1xXnsMez2,0,31.0,22.46,0,1,1,0,9,1
Restaurante,CMX,9GJ68IS8y2VqTXgUZp4TdbfnvGj1,0,25.0,25.83,0,0,0,0,6,1
Restaurante,BAQ,9GMuNyfbVmRADbs7fL2Rd6X9ZRn1,0,101.0,53.55,0,0,0,0,5,1
Comercio,BOG,9Gj9n2troqTRTT8mg92ZwqzH7PN2,0,33.0,19.53,0,0,0,1,8,1
Restaurante,BOG,9GlfuwG3zmcOnD14EHTFsL1iVEe2,0,89.5,55.0,0,0,1,4,6,1
Restaurante,BOG,9GpKpuxIfwUarQgOqtjHbzaKuOe2,0,15.5,14.98,0,0,0,1,10,1
Hogar,BOG,9GwZCueofrWjtkG6LV5LHArHffp1,0,13.2,17.52,0,0,0,0,5,1
Comercio,BOG,9HDyZxF1qOdsLkwMoBBMSHkCDH23,0,40.0,42.43,0,1,0,0,6,1
Comercio,CMX,9HWPVEihiwRK6Pk2BB9jXCNXHIx1,0,34.5,30.07,0,0,0,0,8,1
Comercio,BOG,9HZDMLAJEBcbHURCEhWTKwLWPkF2,0,10.0,123.9,0,0,0,0,6,0
Hogar,BAQ,9I96iOnPVrZC91TWBCmUFduazNU2,0,19.8,13.73,0,0,1,0,9,1
Hogar,BOG,9I9qG0UozXbgk0FSfVbnmT1wKO93,0,64.0,53.03,0,0,0,0,9,1
Restaurante,BOG,9ICC46cY3aOPL0WB2XTtth9xW2R2,0,54.0,37.14,0,1,0,0,7,1
Comercio,BOG,9IYxt5kbHrMKUlPxvUNd8zyP0D62,0,21.0,125.26,0,0,0,1,12,1
Comercio,BOG,9Ib7jPdlErRqfkHCWbKM1pkCIU82,0,57.0,27.07,0,0,0,1,6,1
Hogar,BOG,9IggzLLOeNawYfDYvFEOwIWQzul1,0,32.7,24.67,0,0,0,0,11,1
Restaurante,BOG,9J2ZolnsbBgYDJt1FFS69qBgFVS2,0,11.72,14.09,0,0,0,0,6,1
Hogar,CMX,9JC1GTWJIbWqqcm8sgENikLCEaf2,0,33.3,51.98,0,0,0,0,7,0
Hogar,BOG,9JY5P1CEx7OtHmwIUhpHYDFxB6y2,0,20.05,26.07,0,0,3,0,5,1
Hogar,BOG,9JayDHUAZCbCGdd6LoEioBFzHM62,0,29.7,31.22,0,0,0,0,7,1
Comercio,BAQ,9JgoBoZUjkMIQArf97rzC6Mtm412,0,540.0,124.34,1,1,0,0,6,1
Hogar,BAQ,9JuF46ZcDuMcTbsCEFcYi8z69Kv1,0,37.2,30.64,0,0,0,0,7,1
Restaurante,BOG,9JwEtV6c9DeXzAsVByC6XR9fgab2,0,50.0,18.48,0,0,0,1,7,0
Restaurante,BAQ,9K6AbGB3dmOXj6pcIlLueGgLEzC3,0,1.0,3.09,0,0,0,0,3,1
Comercio,BOG,9K6JB9mzGNMwb6uNnU8UeGxCNwl2,0,19.6,14.39,0,1,0,2,4,1
Restaurante,BAQ,9KLrxXruxCc7tY7kWhqwobVdEP23,0,29.5,28.48,0,1,0,0,9,1
Hogar,BOG,9KRTxZKBXrREXqBNK3GQygV9WDA3,0,11.0,12.12,0,0,0,0,4,0
Restaurante,BOG,9KwefeyG9Ff9Bil1wbwLYEPSCiG2,0,41.1,21.57,0,1,0,0,8,1
Hogar,BOG,9L8aEqI2aBYxM24pmPEm71hvjxm1,0,40.42,37.77,0,0,5,0,7,1
Comercio,BOG,9LKD3NzHfqNFqB73uYRa3HxCDS72,0,170.0,42.5,0,0,0,1,11,1
Restaurante,BOG,9LoszaSf0tUXdRGUGLejurRjIkn2,0,103.0,34.02,0,0,0,1,4,0
Hogar,CMX,9LpGHevq0Kh5SgJjduvVyNppN902,0,102.2,81.24,0,0,0,0,4,1
Hogar,BOG,9LqOiSINvCh59wjU6VL0ogqS7452,0,31.2,27.85,0,0,0,0,9,1
Restaurante,BOG,9Lt1QyElY5bA3jIfGpjzO9mBPKY2,0,7.0,14.54,0,0,0,1,5,1
Comercio,BOG,9MAwIlU5fjZeqvf5ppfZtsAJxEs2,0,9.0,30.02,0,0,0,1,10,1
Hogar,BOG,9MCzMcKXiShXQbuJmXQKkGYAzRu2,0,45.2,40.48,0,0,0,0,6,0
Comercio,CMX,9ME61Sqq0zPi9oTb3vZtUN4J8262,0,44.0,60.35,0,0,0,0,7,0
Hogar,BAQ,9MJctvQPoVX4dhNogemm5BdUvtE3,0,19.0,14.0,0,0,0,0,8,0
Líderes de Comunidad,BOG,9MLP0PbE1xWZuhbY9pekvy02Oko2,0,35.5,29.4,0,1,2,0,10,1
Hogar,BOG,9McIf0xe64cqNMZjbM60DOWHY412,0,66.1,73.39,0,0,0,0,6,1
Hogar,BOG,9MtxcqUhedQ6oSL2NhksIC6Enwf2,0,32.9,28.76,0,0,0,0,8,1
Comercio,BOG,9NDDmKO4axSByHe4N06O1X4OZSg2,0,25.55,21.25,0,1,0,0,8,1
Restaurante,BOG,9NQMlCaHM0M3NjE00mBLKXsJUoI3,0,65.82,35.59,0,0,0,0,5,1
Restaurante,CMX,9NS2o0qnLWPeHemZrhKQP6mj7563,0,40.0,32.15,0,0,0,1,8,0
Restaurante,BOG,9NUDzFigJUNV0XCTcHUnzYjmGIn1,0,122.32,70.85,0,0,0,0,4,1
Comercio,CMX,9NVQSHgTJpbu9psl3n6z0v7OKnK2,0,25.0,17.97,0,1,0,1,11,1
Restaurante,BAQ,9NdAK7xYdcg0CCCumF0f7cRVw8r2,0,32.0,42.96,0,0,1,0,7,0
Restaurante,BOG,9OWgg9HEe6XPMRwSFYznY42E2oE2,0,7.7,5.77,0,1,0,0,7,1
Restaurante,BAQ,9OZmM4bw4BaWOiRflJcPLSOmljI3,0,112.2,119.04,0,1,1,0,6,1
Comercio,CMX,9P7DgWS7RYdaL19zcQUaBvG2sRh1,0,58.2,53.17,0,0,0,0,7,1
Hogar,BOG,9PBDtr13iNhudTxVKLm4YQyq8si1,0,20.9,13.87,0,0,0,0,3,1
Comercio,BAQ,9PcKhEaYC3QNjlyQuV9CtisQyrj1,0,243.5,114.33,0,1,0,4,5,1
Restaurante,BOG,9PgVKlHBPSSywLdL7bVFmlACuf33,0,8.0,17.49,0,1,0,0,11,1
Hogar,BOG,9Pvrn7nakkQBvIURyx6QTjWp4q82,0,26.5,19.91,0,1,0,0,5,1
Hogar,BOG,9PyEXaeYDReL3fJrzuSBKTbQIDj2,0,94.2,53.73,0,0,0,0,8,1
Comercio,BOG,9Q6r0YB6ZxRChIcMIn01VzXJJkT2,0,49.3,41.29,0,0,0,1,9,1
Comercio,BOG,9Q7Q4D3XRGeGNy19dD5TENKg8H83,0,5.5,15.83,0,0,0,0,7,0
Hogar,BOG,9QeVYlnOg5WREz35HnJIC5zjx1q2,0,32.6,25.23,0,0,0,0,7,1
Restaurante,CMX,9QlrMIrgWoYE1nAQWfuvic5IodQ2,0,20.0,23.04,0,1,0,0,7,1
Comercio,BAQ,9Qnex8wTspgoFvjxtqvsrwwgFWt2,0,34.0,17.64,1,0,0,0,6,0
Hogar,BOG,9QqxXscd81PvoTjIHcVfGZllnzZ2,0,34.3,27.57,0,0,4,0,-1,1
Hogar,BOG,9QwYl96YDCXyA7Cuy56knzHMSej1,0,7.0,16.14,0,0,0,0,10,1
Comercio,CMX,9R0pGmL8vOS6D9DqS34KBlfBoTu1,0,29.0,34.08,0,1,0,0,9,1
Restaurante,BOG,9RMzh7PZI6NelauuYgFe73bO8TL2,0,123.8,66.36,0,0,0,0,7,1
Restaurante,BOG,9RQKfjtEV1URQW3rpiwrEq21jis2,0,6.0,10.69,0,1,0,0,7,1
Hogar,BOG,9RQbMXNcDbSV4DbrnYB8hjokfXK2,0,55.62,55.9,0,0,0,0,8,1
Comercio,BOG,9RSS667RrYZB7QRslZYrYiNL7St1,0,9.0,97.81,0,0,0,1,6,0
Hogar,BOG,9RWk31NCGTNAmTU88idGHGEc3ih2,0,34.9,26.38,0,0,1,0,6,0
Comercio,CMX,9RXZWJYA4sUUigjVqDgJuKaV4H12,0,3.0,26.12,0,0,0,0,7,0
Restaurante,BOG,9RbMlEswHdRlihaEFzsqVnbggrA3,0,254.0,110.09,0,0,0,0,6,1
Restaurante,BOG,9RhEHA8PdmaFXRX6LtWQ4PaYcjM2,0,6.0,17.9,0,1,0,0,5,1
Líderes de Comunidad,BOG,9Rn0xEEANTeI2515hX2OJhakOC73,0,9.0,2.43,0,0,0,0,9,1
Hogar,BOG,9SDt6GvwXWRJaFSHThV3zydyMLz1,0,49.9,38.56,0,0,0,0,7,1
Restaurante,BOG,9SaypMiGNPM1Ls35K0NxnJUHGDq2,0,26.86,17.02,0,0,1,0,5,1
Restaurante,BOG,9SbpjWFSUYhRKIsWd9UsTIbRBRs1,0,64.8,28.52,0,0,0,0,5,0
Hogar,BOG,9Se7dR92nEXriGd86vyTV23fBJ93,0,39.5,32.7,0,0,0,0,9,1
Comercio,BOG,9ShNONczz3UDC64yF0u0dti4uuz1,0,51.5,20.83,0,0,0,0,7,0
Restaurante,BOG,9Sto7K43YAO1gvJqp73ko2PaxjD2,0,46.2,31.67,0,0,0,0,7,1
Restaurante,BOG,9Suh27lL53dTy9fZCn9vAMSKKvq1,0,3.0,7.39,0,0,0,0,4,1
Restaurante,BOG,9T4JUU4bSWR42xeoCJKDuFeTTFH2,0,50.4,15.08,0,0,0,0,5,1
Comercio,BOG,9TCAAT8PeLeDVBGq36cDfCPXFcS2,0,2.0,24.78,0,0,0,1,8,1
Restaurante,BOG,9TYaMTV6e5MI36GVF7nPjXtmQjB3,0,28.5,14.84,0,0,0,0,5,1
Hogar,BOG,9TZDSV73Jfez4M3XPBDfT4v8WjB2,0,32.8,27.78,0,0,0,0,6,1
Hogar,BOG,9TsFag1sUjaWJMWTdGGvDdz8kEw2,0,17.0,19.61,0,0,0,0,5,0
Restaurante,BOG,9UvC1BXKbgOaUKFmBDI1it22GSC3,0,34.2,27.45,0,0,0,0,5,0
Comercio,CMX,9V6XeOZ66DglPDlG4TeDPvVLfUn1,0,35.75,29.09,0,0,0,0,8,1
Comercio,CMX,9VDm9W9Jq5c6JR8G6AE7R8nH2Zy2,0,6.0,100.75,0,0,0,0,5,0
Hogar,BOG,9VIQOWW8zUgKD8LbpA5r73nZyBe2,0,3.0,33.87,0,0,0,0,10,1
Restaurante,CMX,9VYN9uWT90hHysCdS5BLCmwPKL03,0,21.5,17.74,0,0,0,0,7,1
Comercio,BOG,9VaNVXWLYNVMO4Nu1AGNtYyV25R2,0,5.0,61.95,0,0,0,0,6,0
Restaurante,BOG,9VaS29LRRwZqv5ZtUGcPsuFyB4M2,0,52.5,30.2,0,0,0,0,7,1
Hogar,CMX,9VarXnBBvOY9WdoevdL2IsugQiO2,0,59.95,72.91,0,0,0,0,9,0
Restaurante,CMX,9Vt1GlhAqdV5tS4LbxAzVr7kOpr1,0,110.0,90.0,0,0,0,0,8,1
Hogar,BOG,9VtW6CZpAzP6075K096DG5V3a393,0,51.2,44.2,0,0,0,0,7,0
Restaurante,CMX,9XFHiXBs2sZjFkNFkOzDX9du3U32,0,47.25,39.92,0,1,0,0,6,1
Comercio,BOG,9XFwwvM5pEh57PVhT2iai9gW41j1,0,3.0,6.57,1,0,0,0,3,1
Institución,BOG,9XWiFH4SIJNsH25jJ7haMgQynBA2,0,10.0,7.79,0,1,0,0,5,1
Comercio,BAQ,9Xc4I6pvzyS0NpEdt7Dh9mT5v2J2,0,35.0,16.0,0,0,0,1,5,1
Restaurante,BAQ,9Xf5H1mG56MxsEv5GWSJF8TFqeD2,0,42.5,32.28,0,0,0,1,5,1
Hogar,BOG,9Xfrh4n03XNWEaSl97kvh4POxwA3,0,45.3,30.24,0,0,3,0,7,1
Hogar,CMX,9XhvNXczOWPqnHhAWt9OGLr0WqW2,0,72.25,73.78,0,0,0,0,6,0
Comercio,CMX,9XkRahXGKQTBY3lVkOVriLyLiZu1,0,22.0,23.19,0,0,0,1,5,0
Comercio,CMX,9YDhtY4h2sTjUoQQieKMU5cZijX2,0,2.0,26.59,0,0,0,0,5,0
Hogar,BOG,9YSKy1TdQzUENQHNi7LH6ttXwFm2,0,38.8,28.11,0,0,0,0,9,1
Institución,BOG,9YgQSb2OVqYC2mSvsQC40bh0ZrC3,0,14.5,14.4,0,0,0,0,5,1
Comercio,BOG,9YglxHFZBdZ37OZMFUQcuUiWkJi2,0,104.5,86.48,0,0,0,1,6,1
Hogar,BOG,9YkdqJb7poYex459cq9JyrXtpva2,0,46.0,48.8,0,0,0,0,4,1
Hogar,BOG,9Yvr7YeuuISbR2mcYCJYOADeoSv2,0,73.4,95.24,0,0,0,0,6,0
Restaurante,BOG,9YxgI29BmhReWHP8oQmajVZyG253,0,38.0,22.66,1,0,0,1,6,1
Hogar,BOG,9ZD6yLysaMeaHChyFoze0XCdPpd2,0,38.5,24.63,0,0,0,0,11,1
Comercio,CMX,9ZG1D5X87uehmzLGpcaqLZk0AsC3,0,32.0,38.14,0,0,0,0,6,1
Restaurante,BOG,9ZJJtkps18Q1tiPvpk42D7fwB5I3,0,51.1,39.02,0,0,2,0,6,1
Restaurante,BOG,9ZPwXnMrZZhQ5ygSb513oxKRb2A3,0,7.0,28.31,0,0,0,0,3,1
Restaurante,CMX,9ZQ4EggSxSUA1g7MRY9S50N5wbg2,0,57.0,44.48,0,0,1,0,9,1
Restaurante,BOG,9ZiYK3xG3vfm17OU3TtaD0fRMFf2,0,29.1,27.84,0,0,0,0,6,1
Comercio,BOG,9ZixOKadeVgnEa9cU0iICKnFhTF2,0,30.0,98.51,0,0,0,1,6,0
Hogar,BOG,9aFwn8UlFzdzqEv6WoUVzezVOm82,0,34.1,25.68,0,0,0,0,7,1
Hogar,BOG,9aTyIi2CRTXBG5iZuy8a0F4z3LJ3,1,30.4,28.59,0,0,0,0,7,1
Hogar,BOG,9aaowXK1uzR2m8vY07hm7XB1VCG2,0,33.6,28.17,0,0,0,0,8,1
Restaurante,BOG,9abcs4cPOSgXzEeRGpJj785ZxWk2,0,50.9,38.79,0,0,0,0,7,0
Restaurante,BOG,9ajgPiCMiSQuopEnCZMOZs3A5lr2,0,5.0,14.73,0,0,0,0,10,1
Hogar,BAQ,9auzAfPXc0Rar2cyklsQTYiNYwz1,0,32.7,29.06,0,0,0,0,12,1
Comercio,BAQ,9azZ5K2Hpvh7uQ0ygMP59pzRGUf1,0,171.0,80.73,0,0,0,0,7,1
Hogar,BOG,9bCLHwgtQWOSpK4pIvSKDoqq9Yo2,0,24.5,14.86,0,0,0,0,8,0
Hogar,BAQ,9bI7vMe5TcUslVeqakLUx0fi7oj2,0,16.5,22.25,0,0,0,0,5,1
Comercio,BOG,9bMrVM4mCJbWejEUus7XVpS3btH3,0,5.0,15.77,0,0,0,1,4,1
Restaurante,BOG,9blcscoZpqMxuq3WOJ88OIw4end2,0,18.5,22.98,0,0,0,0,10,1
Hogar,CMX,9br1EffDbphMKpvVLDTX8RsiIji2,0,48.0,43.9,0,0,0,0,6,1
Restaurante,BOG,9c3lEfpmlwN0WlcZsSeYwjg9Wdv1,0,5.0,14.73,0,1,0,0,7,1
Hogar,BOG,9c5TtVaMz6NH9eRBWfBTnptLyG23,0,63.6,44.44,0,0,3,0,7,1
Restaurante,CMX,9cB1juImStguPTfZyO9EiIG7OWl1,0,21.0,29.18,0,0,0,0,8,0
Hogar,BOG,9cDyZ4CzFGTIlygo5Cdomp5QWA43,0,24.0,20.87,0,0,0,0,9,1
Restaurante,CMX,9cGotenK3bcjCCBm9O7ZNsTsSnu1,0,49.0,38.31,0,0,0,0,8,1
Hogar,BOG,9cMyxk5wljdMcwEqZlcZppWMq972,0,22.5,22.47,0,0,0,0,7,0
Hogar,BOG,9cUBvKdPSFb0h3Rvj5fH3IA1Ti22,0,36.9,32.48,0,0,0,0,7,0
Comercio,BOG,9cdvYV6FPpRocs6aGU46jJFMa993,0,5.0,62.95,0,0,0,0,7,0
Restaurante,BOG,9ceffe4muOaTfn1XaThzELw4XU73,0,100.5,54.51,0,0,0,0,8,1
Hogar,BOG,9clfqbKfdbfK8bPwLyp2zLWg57q1,0,30.3,28.42,0,0,0,0,3,1
Hogar,BOG,9cmx4y8zdTR1vIOjvll5XEBAt0l2,0,50.6,35.45,0,0,2,0,4,1
Comercio,CMX,9dJAbZ9nevXZuDRrhuxWFb0EVJY2,0,1.0,26.56,0,0,0,0,8,0
Comercio,BOG,9dKUH2Tn7JSJYLzsDSkga6jqt7l1,0,13.5,30.65,0,0,0,1,6,1
Comercio,BAQ,9daMCfHc0lQxQ8Mgh1Qg5fWg8e52,0,24.0,99.63,0,0,0,0,5,1
Comercio,BOG,9dcE3uO118QeeiaZ8oAu8fV062o2,0,192.0,905.01,0,0,0,0,6,1
Restaurante,BOG,9dnx6Gku4Gd12engXLbf94BcDW12,0,31.0,21.05,0,0,0,0,9,1
Hogar,BOG,9du92W4JHGNBTpXbRdcec3mY5ts2,0,33.5,27.82,0,0,0,0,8,1
Hogar,BOG,9dxi6cYUawSdDARNWb3KFs6DVFi1,0,30.3,28.8,0,0,7,0,12,1
Hogar,BAQ,9dzIZS0nndYl9X8SpFHSPazE9RR2,0,10.2,9.13,0,0,0,0,5,1
Restaurante,BOG,9e2kAAkKjRgVaqiQ2E6I5apER7d2,0,38.5,25.36,0,0,0,0,6,1
Institución,BOG,9eJHGT9MGqXtEP7rFFV6gWUFgRi1,0,111.5,69.55,0,0,1,0,6,1
Hogar,BAQ,9ePa58U1QLW1mJoNchTOUXpFqrm2,0,46.2,34.49,0,0,0,0,5,1
Hogar,BOG,9eSz1A2YeXX10QZQAM7REQpJxi33,0,50.8,31.17,0,0,0,0,6,1
Restaurante,CMX,9eT8QyuTRDgWrEWLlbRPf7ori603,0,1.0,22.17,0,0,0,1,9,1
Comercio,BAQ,9eaXC36hTxdwnR11EhPWnv4zotd2,0,148.0,95.66,0,0,0,0,6,1
Restaurante,BOG,9efsmnxh9wTZgAbfGpbB3WsCnPA3,0,45.1,24.2,0,0,0,0,5,1
Restaurante,BOG,9ekUrcKRMLSH3vNpKurLaMw22mH3,0,76.4,43.68,0,0,0,0,7,0
Hogar,BOG,9eoU2GCYlIcxGcBcfqpmytS0uVi2,0,40.0,31.28,0,0,0,0,8,1
Restaurante,BOG,9ext5dwig6QElKlKbbmAvXgPQeG2,0,10.0,32.73,0,0,0,0,6,1
Restaurante,BOG,9f5QXHYuPXbqdlKUiyVGPmYQdq83,0,8.4,27.87,0,0,0,0,10,1
Comercio,CMX,9fWYH43J10UHmfT1MfGsEP4MNJm1,0,29.0,26.04,0,0,0,1,8,0
Restaurante,CMX,9fbn5OT3BkcbS4w4x5KknWqShuM2,0,19.5,19.32,0,0,0,0,7,1
Hogar,BOG,9flXp1nHYaSmk5lpAcFc8fFV4qV2,0,31.0,33.96,0,0,0,0,6,1
Hogar,BOG,9fzavDsb4PYx5rlbNwwYOKHYMcS2,0,47.4,39.12,0,0,2,0,10,1
Restaurante,BOG,9gHDnmTpWGUDlJyOTSde3SCNg6o2,0,66.5,48.28,0,0,0,0,11,1
Restaurante,BOG,9goHSt1OWFgkYByN8SjnQZOEE6a2,0,43.36,28.54,0,0,0,0,7,0
Restaurante,BOG,9gvC3DdjG2WztlBouTKTAbv9DFy2,0,97.9,63.69,0,0,0,1,6,1
Hogar,BOG,9h1kl1JQfQgx3OdBMk13GLIW0y62,0,49.2,33.1,0,0,0,0,7,0
Comercio,BAQ,9h9duiJTgTOV8Nwr7iQ6zI4MrCK2,0,77.7,42.57,1,0,2,0,7,1
Restaurante,BOG,9hFYy3ezBoO7Hsh78CZi6bvyfiZ2,0,108.0,69.59,0,0,1,0,8,1
Restaurante,BOG,9hTO16bFnVTN6cQqxjE4jqkhWMf1,0,5.0,14.73,0,0,0,0,4,1
Hogar,BOG,9hrxbI0fPbga9hs6U5LsmaePu7o2,0,30.5,18.24,0,0,0,0,6,1
Comercio,BAQ,9hx65dLPJBVeJv9MSg54mdnPIhB3,0,122.0,86.87,0,1,0,0,8,1
Hogar,BOG,9hzdupoLuufiyxB2ZsKjtvXrDLs2,0,53.7,38.5,0,0,0,0,5,1
Comercio,BAQ,9iM9paQX2Rhjpry9wA9HRGZAJc02,0,60.0,33.93,0,0,0,0,8,1
Institución,BOG,9iRQuwl4zzOzPU5rsHdKFgyUI1S2,0,23.61,27.71,0,0,0,0,9,1
Hogar,BAQ,9iSy0azM9ENkv0ocrFQdND51i2H3,0,3.0,7.19,0,0,0,0,4,1
Comercio,BOG,9iTR2Yl6UyT6rOMncQEUiVsLtiz2,0,13.0,17.32,0,0,0,0,8,1
Comercio,CMX,9iTeKvU0pGSnQuqsEi0Q8okr3P02,0,1.0,42.17,0,0,0,0,5,0
Hogar,BOG,9ibp2904OYahxwaUDPJNbvQiq3r2,0,23.5,27.22,0,0,0,0,4,0
Comercio,BOG,9iqGnM3ONrQdoBJCo5kLUJgTm9P2,0,22.0,17.38,0,0,1,0,8,0
Hogar,BOG,9jWjQcRXHUNKayMLQdRBhINSKl63,0,45.2,30.61,0,0,0,0,8,1
Hogar,BAQ,9ja6vttoz3fFnbXrEhIK1lcs9ia2,0,18.7,14.4,0,1,1,0,9,1
Hogar,BOG,9jnOD7rEVMXlJbmHNzOYfze48Ty1,0,32.4,38.66,0,0,0,0,10,0
Hogar,BOG,9joH2iYb1Hd4KYHyOdAzpEPu4C13,0,45.585,48.86,0,0,1,0,8,1
Comercio,BOG,9kREHaffmKaLpvchMK5lBPBSNxv1,0,23.71,17.64,0,0,1,0,6,1
Hogar,BOG,9kdCLVKdyLaYsBd3NIHvDKBNPgn1,0,41.5,33.19,0,0,1,0,7,1
Hogar,BOG,9keD757fp5XUo33Dh45vawtK3VS2,0,13.6,14.24,0,0,0,0,6,1
Comercio,BOG,9kjc8GSjkmRIFuDs6rGBnCBznBN2,0,34.18,27.92,0,0,0,1,7,1
Hogar,BOG,9kyCQPGkW0bLjAmBfXQ54CEGC523,0,50.5,35.76,0,0,1,0,9,1
Comercio,BOG,9l6sWyi5i9fsMDclEWsZfijVtmq1,0,2.0,13.01,0,0,0,0,6,1
Comercio,BOG,9l87an2bkIaIFag7Q956D3kxUvX2,0,32.0,141.25,0,0,0,0,6,1
Comercio,CMX,9l8ZX8FdNfbchxboMWxeZ3iy4Vd2,0,6.0,28.16,0,0,0,0,9,1
Comercio,CMX,9lEJjlIDwZWvVp3oMeZeHBrKJZh2,0,4.0,30.96,0,0,1,0,3,0
Restaurante,BOG,9lFrC9wfa9ObVJBKi38ULdotUOs1,0,2.6,1.81,0,1,0,0,7,1
Hogar,BOG,9lHThS0KNXfAxCH21obXkMgT6882,0,60.6,54.45,0,0,0,0,7,1
Hogar,BOG,9lQmBWCsTSbLL4svhVqMmzNbrs92,1,25.3,31.03,0,0,0,0,9,0
Institución,BOG,9lcWBRgmcVTEgRtYDLIB7Kh9UWc2,0,37.0,28.92,0,0,0,0,5,1
Hogar,BAQ,9ll1xRUNkVRC3riFjQSCMBaP8Aq2,0,52.5,42.98,0,0,0,0,7,1
Hogar,BOG,9mFSVbJGN9boGSU0kLCPTBvhyOy2,0,28.5,21.95,0,0,0,0,3,1
Restaurante,BOG,9mJOvlJT17ODMTwd6YFeUZYzYUk1,0,65.5,37.87,0,1,0,1,7,1
Hogar,BOG,9mhu4Q2R8FT0Ang13fRGN3qxnya2,0,11.5,8.25,0,0,0,0,7,1
Comercio,BOG,9mjWEdjn9jfhd3gxJ1lIbu8BFvD2,0,50.0,238.16,0,0,0,0,5,1
Hogar,BOG,9mjybjVyalP7u8QPHk6qfJK7cfJ3,0,26.5,19.86,0,0,0,0,10,1
Hogar,BOG,9muc5hWwb3Qz6DnaxmyROlsgUlL2,0,39.3,28.59,0,0,0,0,8,1
Restaurante,CMX,9n02st0KTqWaw7BRZSpPVkOjmMv2,0,24.3,15.79,0,0,0,2,8,1
